,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
1619,Matt Moussilou,Centre-Forward,24,LOSC Lille,Ligue 1,OGC Nice,France,2006-2007,5000000.0,4000000
1620,Mariano Pernía,Left-Back,29,Getafe CF,LaLiga,Atlético Madrid,Spain,2006-2007,4500000.0,4000000
1621,Andreas Hinkel,Right-Back,24,VfB Stuttgart,1.Bundesliga,Sevilla FC,Spain,2006-2007,4000000.0,4000000
1622,Frédéric Thomas,Central Midfield,25,Le Mans,Ligue 1,AJ Auxerre,France,2006-2007,4000000.0,4000000
1623,Moubarak Boussoufa,Attacking Midfield,21,KAA Gent,Jupiler Pro League,RSC Anderlecht,Belgium,2006-2007,4000000.0,4000000
1624,Caner Erkin,Left-Back,18,Manisaspor,Süper Lig,CSKA Moscow,Russia,2006-2007,4000000.0,4000000
1625,Koen Daerden,Central Midfield,24,KRC Genk,Jupiler Pro League,Club Brugge,Belgium,2006-2007,3750000.0,4000000
1626,Matías Vuoso,Centre-Forward,24,Santos Laguna,Liga MX Clausura,América,Mexico,2006-2007,2000000.0,4000000
1627,Nenê,Attacking Midfield,24,Alavés,LaLiga2,Celta de Vigo,Spain,2006-2007,600000.0,4000000
1628,Salvador Cabañas,Centre-Forward,25,Chiapas FC,Liga MX Clausura,América,Mexico,2006-2007,,4000000
1629,Leandro Somoza,Defensive Midfield,25,Vélez Sarsfield,Torneo Final,Villarreal CF,Spain,2006-2007,,4000000
1630,Álvaro Arbeloa,Right-Back,24,Dep. La Coruña,LaLiga,Liverpool,England,2006-2007,1300000.0,3900000
1631,Boubacar Sanogo,Centre-Forward,23,1.FC K'lautern,2.Bundesliga,Hamburger SV,Germany,2006-2007,4000000.0,3800000
1632,Francisco Fonseca,Centre-Forward,27,Benfica,Liga NOS,Tigres UANL,Mexico,2006-2007,2500000.0,3800000
1633,Massimo Gobbi,Left-Back,26,Treviso,Serie B,Fiorentina,Italy,2006-2007,2200000.0,3800000
1634,Matthew Kilgallon,Centre-Back,22,Leeds,Championship,Sheffield Utd.,England,2006-2007,100000.0,3800000
1635,Marco Ruben,Centre-Forward,20,CA Rosario,Torneo Final,River Plate,Argentina,2006-2007,,3800000
1636,Madjid Bougherra,Centre-Back,24,Sheff Wed,Championship,Charlton,England,2006-2007,100000.0,3790000
1637,Jimmy Bullard,Central Midfield,27,Wigan,Premier League,Fulham,England,2006-2007,4500000.0,3750000
1638,Ricardinho,Attacking Midfield,30,Corinthians,Série A,Besiktas,Turkey,2006-2007,3000000.0,3750000
1639,Shefki Kuqi,Centre-Forward,29,Blackburn,Premier League,Crystal Palace,England,2006-2007,1750000.0,3750000
1640,Benni McCarthy,Centre-Forward,28,FC Porto,Liga NOS,Blackburn,England,2006-2007,6000000.0,3700000
1641,Rodolfo,Centre-Back,24,Dynamo Kyiv,Premier Liga,Loko Moscow,Russia,2006-2007,2500000.0,3700000
1642,Jonathan Santana,Central Midfield,24,River Plate,Torneo Final,VfL Wolfsburg,Germany,2006-2007,4500000.0,3600000
1643,Leonardo Pisculichi,Attacking Midfield,22,RCD Mallorca,LaLiga,Al Arabi, Qatar,2006-2007,1750000.0,3600000
1644,Konstantinos Katsouranis,Defensive Midfield,27,AEK Athens,Super League,Benfica,Portugal,2006-2007,7000000.0,3500000
1645,Jiri Jarosik,Centre-Back,28,Chelsea,Premier League,Celtic,England,2006-2007,6500000.0,3500000
1646,Ronald Zubar,Centre-Back,20,SM Caen,Ligue 2,Marseille,France,2006-2007,3750000.0,3500000
1647,Roberto Guana,Central Midfield,25,Brescia,Serie B,US Palermo,Italy,2006-2007,3700000.0,3500000
1648,Jérémy Ménez,Second Striker,19,FC Sochaux,Ligue 1,Monaco,France,2006-2007,3500000.0,3500000
1649,Stefano Mauri,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Italy,2006-2007,3000000.0,3500000
1650,Ricardo Osorio,Right-Back,26,CD Cruz Azul,Liga MX Clausura,VfB Stuttgart,Germany,2006-2007,3000000.0,3500000
1651,Francisco Fonseca,Centre-Forward,26,CD Cruz Azul,Liga MX Clausura,Benfica,Portugal,2006-2007,2500000.0,3500000
1652,Diego Rivas,Central Midfield,26,Getafe CF,LaLiga,Real Sociedad,Spain,2006-2007,1500000.0,3500000
1653,Gijs Luirink,Centre-Back,22,FC Groningen,Eredivisie,AZ Alkmaar,Netherlands,2006-2007,750000.0,3500000
1654,Claude Davis,Centre-Back,27,Preston NE,Championship,Sheffield Utd.,England,2006-2007,300000.0,3500000
1655,Daniel Montenegro,Attacking Midfield,27,Saturn,Premier Liga,Independiente,Argentina,2006-2007,,3500000
1656,Nelson Rivas,Centre-Back,23,Deportivo Cali, Colombia,River Plate,Argentina,2006-2007,,3500000
1657,Pablo Vitti,Centre-Forward,21,CA Rosario,Torneo Final,CA Banfield,Argentina,2006-2007,,3500000
1658,Rob Hulse,Centre-Forward,26,Leeds,Championship,Sheffield Utd.,England,2006-2007,1750000.0,3450000
1659,Christian Wilhelmsson,Right Winger,26,RSC Anderlecht,Jupiler Pro League,FC Nantes,France,2006-2007,7000000.0,3300000
1660,Daniele Bonera,Centre-Back,25,Parma,Serie A,AC Milan,Italy,2006-2007,6000000.0,3300000
1661,Daniel Niculae,Centre-Forward,23,Rapid Bucharest,Liga 1,AJ Auxerre,France,2006-2007,3300000.0,3300000
1662,Radhi Jaidi,Centre-Back,30,Bolton,Premier League,Birmingham,England,2006-2007,2000000.0,3250000
1663,David Cotterill,Right Winger,18,Bristol City,League One,Wigan,England,2006-2007,400000.0,3200000
1664,Corrêa,Defensive Midfield,25,Palmeiras,Série A,Dynamo Kyiv,Russia,2006-2007,,3200000
1665,Pasquale Foggia,Attacking Midfield,23,AC Milan,Serie A,Lazio,Italy,2006-2007,2500000.0,3150000
1666,Johan Micoud,Attacking Midfield,32,Werder Bremen,1.Bundesliga,G. Bordeaux,France,2006-2007,8500000.0,3000000
1667,Steed Malbranque,Central Midfield,26,Fulham,Premier League,Spurs,England,2006-2007,8200000.0,3000000
1668,Marco Cassetti,Centre-Back,29,Lecce,Serie B,AS Roma,Italy,2006-2007,6000000.0,3000000
1669,Andreas Isaksson,Goalkeeper,24,Stade Rennais,Ligue 1,Man City,England,2006-2007,6000000.0,3000000
1670,Jaap Stam,Centre-Back,33,AC Milan,Serie A,AFC Ajax,Netherlands,2006-2007,5500000.0,3000000
1671,Juan Pablo Sorín,Left-Back,30,Villarreal CF,LaLiga,Hamburger SV,Germany,2006-2007,5500000.0,3000000
1672,Jan Kromkamp,Right-Back,25,Liverpool,Premier League,PSV Eindhoven,Netherlands,2006-2007,5000000.0,3000000
1673,Boško Jankovic,Right Winger,22,Red Star,SuperLiga,RCD Mallorca,Spain,2006-2007,5000000.0,3000000
1674,Robert Green,Goalkeeper,26,Norwich,Championship,West Ham,England,2006-2007,5000000.0,3000000
1675,Luis Jiménez,Attacking Midfield,22,Fiorentina,Serie A,Ternana,Italy,2006-2007,5000000.0,3000000
1676,Markus Rosenberg,Centre-Forward,24,AFC Ajax,Eredivisie,Werder Bremen,Germany,2006-2007,4500000.0,3000000
1677,Bernardo Corradi,Centre-Forward,30,Valencia CF,LaLiga,Man City,England,2006-2007,4000000.0,3000000
1678,Lucas Biglia,Defensive Midfield,20,Independiente,Torneo Final,RSC Anderlecht,Belgium,2006-2007,4000000.0,3000000
1679,Luciano Figueroa,Centre-Forward,25,River Plate,Torneo Final,Genoa,Italy,2006-2007,3750000.0,3000000
1680,Thomas Gravesen,Defensive Midfield,30,Real Madrid,LaLiga,Celtic,England,2006-2007,3500000.0,3000000
1681,Erjon Bogdani,Centre-Forward,29,Siena,Serie A,Chievo Verona,Italy,2006-2007,3250000.0,3000000
1682,Carlton Cole,Centre-Forward,22,Chelsea,Premier League,West Ham,England,2006-2007,3000000.0,3000000
1683,Ivan Pelizzoli,Goalkeeper,26,Reggina,Serie A,Loko Moscow,Russia,2006-2007,3000000.0,3000000
1684,Amara Diané,Right Winger,23,R. Strasbourg,Ligue 2,Paris SG,France,2006-2007,3000000.0,3000000
1685,Cribari,Centre-Back,26,Udinese Calcio,Serie A,Lazio,Italy,2006-2007,3000000.0,3000000
1686,Leandro Gracián,Attacking Midfield,23,Vélez Sarsfield,Torneo Final,Monterrey,Mexico,2006-2007,3000000.0,3000000
1687,Yohan Hautcoeur,Central Midfield,24,Le Mans,Ligue 1,Saint-Étienne,France,2006-2007,3000000.0,3000000
1688,José Manuel Jurado,Attacking Midfield,20,Real Madrid,LaLiga,Atlético Madrid,Spain,2006-2007,3000000.0,3000000
1689,Amdy Fayé,Defensive Midfield,29,Newcastle,Premier League,Charlton,England,2006-2007,2500000.0,3000000
1690,André Ooijer,Centre-Back,32,PSV Eindhoven,Eredivisie,Blackburn,England,2006-2007,2500000.0,3000000
1691,Abdoulaye Fayé,Centre-Back,28,Lens,Ligue 1,Bolton,England,2006-2007,2400000.0,3000000
1692,Arthur Boka,Left-Back,23,R. Strasbourg,Ligue 2,VfB Stuttgart,Germany,2006-2007,2350000.0,3000000
1693,Nenad Kovacevic,Defensive Midfield,25,Red Star,SuperLiga,Lens,France,2006-2007,2000000.0,3000000
1694,Pascal Cygan,Centre-Back,32,Arsenal,Premier League,Villarreal CF,Spain,2006-2007,1400000.0,3000000
1695,Clint Dempsey,Second Striker,23,Revolution,MLS,Fulham,England,2006-2007,1000000.0,3000000
1696,Pablo Barrientos,Right Winger,21,San Lorenzo,Torneo Final,FK Moskau,Russia,2006-2007,1000000.0,3000000
1697,Michel Bastos,Left Midfield,22,Atlético-PR,Série A,LOSC Lille,France,2006-2007,1000000.0,3000000
1698,Aílton,Centre-Forward,22,Örgryte,Superettan,FC Copenhagen,Denmark,2006-2007,1000000.0,3000000
1699,Christian Maggio,Right-Back,24,Fiorentina,Serie A,Sampdoria,Italy,2006-2007,800000.0,3000000
1700,Zdravko Kuzmanovic,Central Midfield,19,FC Basel,Super League,Fiorentina,Italy,2006-2007,800000.0,3000000
1701,Gonzalo Vargas,Centre-Forward,24,Gimnasia,Torneo Final,Monaco,France,2006-2007,450000.0,3000000
1702,Kevin Thomson,Central Midfield,22,Hibernian FC,Premiership,Rangers,England,2006-2007,450000.0,3000000
1703,George Ogararu,Right-Back,26,FCS Bucharest,Liga 1,AFC Ajax,Netherlands,2006-2007,300000.0,3000000
1704,Anthony Stokes,Centre-Forward,18,Arsenal U23, England,Sunderland,England,2006-2007,100000.0,3000000
1705,Alexis Sánchez,Left Winger,17,Cobreloa, Chile,Udinese Calcio,Italy,2006-2007,50000.0,3000000
1706,Bolívar,Centre-Back,25,Internacional,Série A,Monaco,France,2006-2007,,3000000
1707,Kauê,Left-Back,22,Ituano, Brazil,Konyaspor,Turkey,2006-2007,,3000000
1708,Juan Pablo Pino,Right Winger,19,Indep. Medellín, Colombia,Monaco,France,2006-2007,,3000000
1709,Ryan Donk,Defensive Midfield,20,RKC Waalwijk,Eredivisie,AZ Alkmaar,Netherlands,2006-2007,,3000000
1710,Luiz Adriano,Centre-Forward,19,Internacional,Série A,Shakhtar D.,Russia,2006-2007,,3000000
1711,Tinga,Central Midfield,28,Internacional,Série A,Bor. Dortmund,Germany,2006-2007,3000000.0,2900000
1712,Mohamed Zidan,Second Striker,25,Werder Bremen,1.Bundesliga,1.FSV Mainz 05,Germany,2006-2007,3000000.0,2800000
1713,Djimi Traoré,Centre-Back,26,Liverpool,Premier League,Charlton,England,2006-2007,2500000.0,2800000
1714,Karim Haggui,Centre-Back,22,R. Strasbourg,Ligue 2,Bay. Leverkusen,Germany,2006-2007,4000000.0,2780000
1715,Marcelinho Paraíba,Attacking Midfield,31,Trabzonspor,Süper Lig,VfL Wolfsburg,Germany,2006-2007,10000000.0,2750000
1716,Aleksandar Lukovic,Centre-Back,23,Red Star,SuperLiga,Udinese Calcio,Italy,2006-2007,3000000.0,2700000
1717,Gabriel Paletta,Centre-Back,20,CA Banfield,Torneo Final,Liverpool,England,2006-2007,3000000.0,2700000
1718,Luton Shelton,Left Winger,21,Helsingborg,Allsvenskan,Sheffield Utd.,England,2006-2007,1300000.0,2700000
1719,Yuki Abe,Defensive Midfield,25,JEF Utd. Chiba,J1 League,Urawa Reds,Japan,2006-2007,400000.0,2700000
1720,Matías Vuoso,Centre-Forward,25,América,Liga MX Clausura,Santos Laguna,Mexico,2006-2007,2000000.0,2650000
1721,Marko Pantelic,Centre-Forward,27,Red Star,SuperLiga,Hertha BSC,Germany,2006-2007,3800000.0,2600000
1722,Razvan Cocis,Central Midfield,23,Sheriff, Moldova,Loko Moscow,Russia,2006-2007,325000.0,2600000
1723,Marcelinho Paraíba,Attacking Midfield,31,Hertha BSC,1.Bundesliga,Trabzonspor,Turkey,2006-2007,10000000.0,2500000
1724,Modeste M'Bami,Defensive Midfield,23,Paris SG,Ligue 1,Marseille,France,2006-2007,5000000.0,2500000
1725,Kevin Kilbane,Left Midfield,29,Everton,Premier League,Wigan,England,2006-2007,4500000.0,2500000
1726,Angelos Charisteas,Centre-Forward,26,AFC Ajax,Eredivisie,Feyenoord,Netherlands,2006-2007,4000000.0,2500000
1727,Luigi Pieroni,Centre-Forward,26,AJ Auxerre,Ligue 1,FC Nantes,France,2006-2007,4000000.0,2500000
1728,Fernando Torres,Centre-Forward,23,Atlético Madrid,LaLiga,Liverpool,England,2007-2008,30000000.0,38000000
1729,Arjen Robben,Right Winger,23,Chelsea,Premier League,Real Madrid,Spain,2007-2008,22800000.0,35000000
1730,Anderson,Central Midfield,19,FC Porto,Liga NOS,Man Utd,England,2007-2008,25000000.0,31500000
1731,Pepe,Centre-Back,24,FC Porto,Liga NOS,Real Madrid,Spain,2007-2008,30000000.0,30000000
1732,Franck Ribéry,Left Winger,24,Marseille,Ligue 1,Bayern Munich ,Germany,2007-2008,23000000.0,30000000
1733,Wesley Sneijder,Attacking Midfield,23,AFC Ajax,Eredivisie,Real Madrid,Spain,2007-2008,16000000.0,27000000
1734,Nani,Left Winger,20,Sporting CP,Liga NOS,Man Utd,England,2007-2008,25000000.0,25500000
1735,Owen Hargreaves,Defensive Midfield,26,Bayern Munich ,1.Bundesliga,Man Utd,England,2007-2008,25000000.0,25000000
1736,Darren Bent,Centre-Forward,23,Charlton,Championship,Spurs,England,2007-2008,7500000.0,24750000
1737,Thierry Henry,Centre-Forward,29,Arsenal,Premier League,FC Barcelona,Spain,2007-2008,45000000.0,24000000
1738,Alexandre Pato,Centre-Forward,17,Internacional,Série A,AC Milan,Italy,2007-2008,4000000.0,24000000
1739,Diego Forlán,Second Striker,28,Villarreal CF,LaLiga,Atlético Madrid,Spain,2007-2008,9000000.0,21000000
1740,Simão,Left Winger,27,Benfica,Liga NOS,Atlético Madrid,Spain,2007-2008,15000000.0,20000000
1741,Gabriel Milito,Centre-Back,26,Real Zaragoza,LaLiga,FC Barcelona,Spain,2007-2008,14000000.0,20000000
1742,Mirko Vucinic,Second Striker,23,Lecce,Serie B,AS Roma,Italy,2007-2008,9000000.0,19500000
1743,Florent Malouda,Central Midfield,27,Olympique Lyon,Ligue 1,Chelsea,England,2007-2008,21000000.0,19000000
1744,Nicolas Anelka,Centre-Forward,28,Bolton,Premier League,Chelsea,England,2007-2008,20000000.0,18000000
1745,Éver Banega,Central Midfield,19,Boca Juniors,Torneo Final,Valencia CF,Spain,2007-2008,15000000.0,18000000
1746,Manuel Fernandes,Central Midfield,21,Benfica,Liga NOS,Valencia CF,Spain,2007-2008,8500000.0,18000000
1747,Ryan Babel,Left Winger,20,AFC Ajax,Eredivisie,Liverpool,England,2007-2008,8000000.0,17250000
1748,Afonso Alves,Centre-Forward,26,Heerenveen,Eredivisie,Middlesbrough,England,2007-2008,13000000.0,17000000
1749,Abdul Kader Keita,Right Winger,25,LOSC Lille,Ligue 1,Olympique Lyon,France,2007-2008,18000000.0,16800000
1750,Yakubu Aiyegbeni,Centre-Forward,24,Middlesbrough,Premier League,Everton,England,2007-2008,12000000.0,16500000
1751,Cristian Chivu,Centre-Back,26,AS Roma,Serie A,Inter,Italy,2007-2008,15000000.0,16000000
1752,Miroslav Klose,Centre-Forward,29,Werder Bremen,1.Bundesliga,Bayern Munich ,Germany,2007-2008,23000000.0,15000000
1753,Éric Abidal,Left-Back,27,Olympique Lyon,Ligue 1,FC Barcelona,Spain,2007-2008,13500000.0,15000000
1754,Mauro Zárate,Second Striker,20,Vélez Sarsfield,Torneo Final,Al Sadd, Qatar,2007-2008,7500000.0,15000000
1755,Nery Castillo,Right Winger,23,Olympiacos,Super League,Shakhtar D.,Russia,2007-2008,3000000.0,15000000
1756,Gareth Bale,Right Winger,17,Southampton,Championship,Spurs,England,2007-2008,7500000.0,14700000
1757,Matuzalém,Defensive Midfield,27,Shakhtar D.,Premier Liga,Real Zaragoza,Spain,2007-2008,14000000.0,14500000
1758,Royston Drenthe,Left Midfield,20,Feyenoord,Eredivisie,Real Madrid,Spain,2007-2008,13000000.0,14000000
1759,Willian,Right Winger,19,Corinthians,Série A,Shakhtar D.,Russia,2007-2008,11000000.0,14000000
1760,Nikola Zigic,Centre-Forward,26,Racing,LaLiga,Valencia CF,Spain,2007-2008,10000000.0,14000000
1761,Marcell Jansen,Left-Back,21,Bor. M'gladbach,2.Bundesliga,Bayern Munich ,Germany,2007-2008,10000000.0,14000000
1762,Eduardo,Centre-Forward,24,Dinamo Zagreb,1.HNL,Arsenal,England,2007-2008,7650000.0,13500000
1763,Tiago,Central Midfield,26,Olympique Lyon,Ligue 1,Juventus,Italy,2007-2008,15000000.0,13000000
1764,David Suazo,Centre-Forward,27,Cagliari Calcio,Serie A,Inter,Italy,2007-2008,13000000.0,13000000
1765,Raúl García,Attacking Midfield,20,CA Osasuna,LaLiga,Atlético Madrid,Spain,2007-2008,12000000.0,13000000
1766,Rolando Bianchi,Centre-Forward,24,Reggina,Serie A,Man City,England,2007-2008,8500000.0,13000000
1767,Alan Hutton,Right-Back,23,Rangers,Premiership,Spurs,England,2007-2008,8000000.0,13000000
1768,Vedran Corluka,Centre-Back,21,Dinamo Zagreb,1.HNL,Man City,England,2007-2008,4100000.0,13000000
1769,Nigel Reo-Coker,Defensive Midfield,23,West Ham,Premier League,Aston Villa,England,2007-2008,4300000.0,12500000
1770,José Antonio Reyes,Right Winger,23,Arsenal,Premier League,Atlético Madrid,Spain,2007-2008,16700000.0,12000000
1771,Juan Riquelme,Attacking Midfield,29,Villarreal CF,LaLiga,Boca Juniors,Argentina,2007-2008,16000000.0,12000000
1772,Gabriel Heinze,Centre-Back,29,Man Utd,Premier League,Real Madrid,Spain,2007-2008,13000000.0,12000000
1773,Breno,Centre-Back,18,São Paulo,Série A,Bayern Munich ,Germany,2007-2008,12000000.0,12000000
1774,Branislav Ivanovic,Centre-Back,23,Loko Moscow,Premier Liga,Chelsea,England,2007-2008,12000000.0,12000000
1775,Kieron Dyer,Right Midfield,28,Newcastle,Premier League,West Ham,England,2007-2008,9200000.0,12000000
1776,Arouna Koné,Centre-Forward,23,PSV Eindhoven,Eredivisie,Sevilla FC,Spain,2007-2008,8500000.0,12000000
1777,Elano,Attacking Midfield,26,Shakhtar D.,Premier Liga,Man City,England,2007-2008,7750000.0,12000000
1778,Younès Kaboul,Centre-Back,21,AJ Auxerre,Ligue 1,Spurs,England,2007-2008,7500000.0,12000000
1779,Javier Arizmendi,Centre-Forward,23,Dep. La Coruña,LaLiga,Valencia CF,Spain,2007-2008,6000000.0,12000000
1780,Óscar Cardozo,Centre-Forward,24,Newell's,Torneo Final,Benfica,Portugal,2007-2008,9000000.0,11670000
1781,Vincenzo Iaquinta,Centre-Forward,27,Udinese Calcio,Serie A,Juventus,Italy,2007-2008,12000000.0,11300000
1782,Craig Bellamy,Left Winger,28,Liverpool,Premier League,West Ham,England,2007-2008,12000000.0,11250000
1783,Luca Toni,Centre-Forward,30,Fiorentina,Serie A,Bayern Munich ,Germany,2007-2008,28500000.0,11000000
1784,Mohamed Sissoko,Defensive Midfield,23,Liverpool,Premier League,Juventus,Italy,2007-2008,9000000.0,11000000
1785,Craig Gordon,Goalkeeper,24,Heart of Midl.,Premiership,Sunderland,England,2007-2008,1750000.0,10820000
1786,Jonathan Woodgate,Centre-Back,28,Middlesbrough,Premier League,Spurs,England,2007-2008,7500000.0,10800000
1787,Sulley Muntari,Central Midfield,22,Udinese Calcio,Serie A,Portsmouth,England,2007-2008,7000000.0,10510000
1788,Jorge Andrade,Centre-Back,29,Dep. La Coruña,LaLiga,Juventus,Italy,2007-2008,12500000.0,10000000
1789,Martin Skrtel,Centre-Back,23,Zenit S-Pb,Premier Liga,Liverpool,England,2007-2008,8500000.0,10000000
1790,Giuseppe Rossi,Centre-Forward,20,Man Utd,Premier League,Villarreal CF,Spain,2007-2008,6500000.0,10000000
1791,Peter Odemwingie,Right Winger,26,LOSC Lille,Ligue 1,Loko Moscow,Russia,2007-2008,6000000.0,10000000
1792,Lucas Leiva,Defensive Midfield,20,Grêmio,Série A,Liverpool,England,2007-2008,6000000.0,10000000
1793,John Utaka,Left Winger,25,Stade Rennais,Ligue 1,Portsmouth,England,2007-2008,5500000.0,10000000
1794,Ilsinho,Right Midfield,21,São Paulo,Série A,Shakhtar D.,Russia,2007-2008,,10000000
1795,Scott Parker,Central Midfield,26,Newcastle,Premier League,West Ham,England,2007-2008,12000000.0,9700000
1796,Jonathan Woodgate,Centre-Back,27,Real Madrid,LaLiga,Middlesbrough,England,2007-2008,11000000.0,9600000
1797,Jermain Defoe,Centre-Forward,25,Spurs,Premier League,Portsmouth,England,2007-2008,11500000.0,9300000
1798,Julien Faubert,Defensive Midfield,24,G. Bordeaux,Ligue 1,West Ham,England,2007-2008,10500000.0,9150000
1799,Cicinho,Right-Back,27,Real Madrid,LaLiga,AS Roma,Italy,2007-2008,15000000.0,9000000
1800,Djibril Cissé,Centre-Forward,25,Liverpool,Premier League,Marseille,France,2007-2008,13500000.0,9000000
1801,Sergio Almirón,Central Midfield,26,FC Empoli,Serie A,Juventus,Italy,2007-2008,11000000.0,9000000
1802,Yaya Touré,Central Midfield,24,Monaco,Ligue 1,FC Barcelona,Spain,2007-2008,11000000.0,9000000
1803,José Sosa,Attacking Midfield,22,Estudiantes,Torneo Final,Bayern Munich ,Germany,2007-2008,10000000.0,9000000
1804,Bacary Sagna,Right-Back,24,AJ Auxerre,Ligue 1,Arsenal,England,2007-2008,6000000.0,9000000
1805,Alan Smith,Central Midfield,26,Man Utd,Premier League,Newcastle,England,2007-2008,5400000.0,9000000
1806,Diomansy Kamara,Right Winger,26,West Brom,Championship,Fulham,England,2007-2008,3000000.0,9000000
1807,David Nugent,Centre-Forward,22,Preston NE,Championship,Portsmouth,England,2007-2008,2500000.0,9000000
1808,Kenwyne Jones,Centre-Forward,22,Southampton,Championship,Sunderland,England,2007-2008,1600000.0,9000000
1809,Mido,Centre-Forward,24,Spurs,Premier League,Middlesbrough,England,2007-2008,5900000.0,8800000
1810,Fabio Grosso,Left-Back,29,Inter,Serie A,Olympique Lyon,France,2007-2008,8500000.0,8700000
1811,Gökdeniz Karadeniz,Left Winger,28,Trabzonspor,Süper Lig,Rubin Kazan,Russia,2007-2008,7500000.0,8700000
1812,José Enrique,Left-Back,21,Villarreal CF,LaLiga,Newcastle,England,2007-2008,800000.0,8700000
1813,Joey Barton,Central Midfield,24,Man City,Premier League,Newcastle,England,2007-2008,7400000.0,8600000
1814,Kieran Richardson,Left-Back,22,Man Utd,Premier League,Sunderland,England,2007-2008,5000000.0,8200000
1815,Valeri Bojinov,Centre-Forward,21,Fiorentina,Serie A,Man City,England,2007-2008,9750000.0,8000000
1816,Aleksandr Kerzhakov,Centre-Forward,25,Sevilla FC,LaLiga,Dinamo Moscow,Russia,2007-2008,8000000.0,8000000
1817,Rio Mavuba,Defensive Midfield,23,G. Bordeaux,Ligue 1,Villarreal CF,Spain,2007-2008,7500000.0,8000000
